Address,Latitude,Longitude,Deaths
"Kolhapur/Ujalaiwadi,Topgaon to Kasar Wadi",16.66871,74.26896,11
"Raigad/Palaspe,Jeetegaon",18.95351,73.12906,10
"Buldhana/Malkapur,Dasarkhed",20.96088,76.18417,9
"Jabalpur,Mausan, Kachhpura, Barnutiraha, Khital,
 Uldana Pulia",23.16858,79.93388,10
"Jabalpur,Kalari, Mohtas, Gausalpur, Sanaskara,
 Pahreva Naka",23.16858,79.93388,12
"Jabalpur,Bajrangwada, Bargi Mohala",23.16858,79.93388,11
"Jabalpur,Chakahanala, Burjhai Tiraha, Moiliya
 Tiraha, Phutataal",23.16858,79.93388,12
"Jabalpur,Usvair Tiraha, Kadrakhada, Kevalachi",23.16858,79.93388,19
"Bhopal,Samardha",23.33225,77.58272,12
"Bhopal,Baagsevnia",23.19451,77.46219,16
"Bhopal,Anandnagar",23.25201,77.48566,11
"Bhopal,Ayodhaya Bypass",23.27484,77.46766,13
"Bhopal,Sihore Bypass",23.19566,77.11545,11
"Mandsor,Malhar Kasba",24.07344,75.0679,12
"Mandsor,Suthod",24.25473,74.99905,10
"Mandsor,Piplayamandi Chaupati, Bahi Pasharvnath Phanta, Bottleganj Chaupati, Naka No. 10",24.07344,75.0679,13
"Shivpuri,Near Vill. Ishvari and between Kulhari",25.43205,77.66438,13
"Shivpuri,Kasba Badwas",25.43205,77.66438,12
"Shivpuri,From Bhagora to Amolaha",25.43205,77.66438,12
"Shivpuri,Between Old Keshar Amolaha and
 Shivhare Dhaba Veerpur",25.43205,77.66438,10
"Shivpuri,Between New Amola No. 1 and 2",25.43205,77.66438,14
"Shivpuri,From Padora to Majhera",25.43205,77.66438,16
"Neemach,",24.47377,74.87265,12
"Neemach,Sagar Gram Pulia",24.47377,74.87265,10
"Panna,From village Manor to Harsa More (16
 kms)",24.71746,80.18141,15
"Vishwakarma Jaipur West,Road No. 1, 5, 6, 9, 12,
 14 Vishwakarma Area",26.97443,75.78226,15
"Chomu Jaipur
 West,Jaitpura",27.12488,75.73026,3
"Bagru Jaipur West,Thikriya More",26.80781,75.54017,5
"Bagru Jaipur
 West,Bhakrota",26.80781,75.54017,9
"T.P. Nagar
 Jaitpur East,Ghat ki Guni Agra Road",26.89349,75.8581,4
"Kanauta Jaipur East,Mali ki Kothi Bagrana",26.87851,75.92578,9
"Bajaj Nagar
 Jaipur East,Tonk Pulia and nearby",26.86575,75.80131,1
"Chaksu Jaipur
 South,Chaksu",26.60346,75.9436,41
"Shivdaspura
 Jaipur South,Shivdaspura",26.71125,75.89551,19
"Shyamnagar
 Jaipur South,Shalimar Bagh to Ajmer
 road crossing",26.91243,75.78727,6
"Shahapura Jaipur Rural,Bhabhru",27.38429,75.96114,13
"Bahrod Alwar,Bahrod",27.89468,76.28203,9
"Sadar Dausa,Bhandarej More",26.88216,76.42594,25
"Mania Dhaulpur,Mania",26.81944,77.91817,7
"Sumerpur Pali,Kasba Sumerpur",25.15264,73.08228,5
"Sirohi,Barighata",24.88515,72.85746,5
"Sukher Udaipur,Cheerwaghata to
 Amrakhaji More",24.64767,73.7183,7
"Thana Sukher
 Udaipur,Bhuwana Bypass",24.62242,73.70805,9
"Thana Sukher
 Udaipur,Kailashpuri",24.64767,73.7183,8
"Pratapnagar Udaipur,Pratapnagar Crossing",24.59007,73.74751,13
"Gaurdhan Vilas Udaipur,Balicha Chauraha",24.58545,73.71248,3
"Byawar Sadar
 Ajmer,Rani Sagar Kharwa",26.4499,74.63992,16
"Madanganj
 Ajmer,Chiriya Bawari",26.58393,74.84967,10
"Bandar Sindri
 Ajmer,Patan Tiraya",26.59812,75.03729,5
"Kancheepuram,Ponnerikarai to White gate between 2 k.m.",12.81846,79.69466,60
"Kancheepuram,1. Panapakkam Road JN.
 2. Dhamal By-pass
 3. Baluchetty chatram By-Pass
 4. Ariyaperum-bakkam Road JN.
 5. Chitherimedu JN. Between 3 km",12.83816,79.70433,34
"Kancheepuram,Mevalurkuppam Irungattukottai Pennalore Mambakkam. between 3.5 KM.",13.00406,79.99372,73
"Kancheepuram,Thirumangalam Senthamangalam Dharkas Pillaichatram. 3 KM.",11.28134,78.23579,27
"Kancheepuram,1.Paranu Bus stop 1/2 Km
 2. Paranur Bridge 1 km
 3. Rajakulipettai 1 km
 4. Pulipakkam JN road 2 km
 5. Pazhzveli hills 1/2 km
 6. Pazhaveli near Vaigai Hotel - 1 km
 7. Vithiya Sagar Womens College,
 Vethanarayanapuram 1/2",12.67017,79.95744,49
"Kancheepuram,Thailavarm to Urapakkam Juction Between 5km",12.86737,80.06986,45
"Kancheepuram,Vandalur Sign & New Bridge, 4
 Km",12.89126,80.081,28
"Kancheepuram,S.P. Koil Junction 5 Km Kattankulathur 3 Km Maraimalai
 Nagar Â½ km",12.823,80.04472,62
"Villupuram,1. Onkur check post
 2. Saram
 3. Pathiri between 5 K.m",11.93373,79.48625,51
"Villupuram,Tindivanam Junction Between 2 KM.",12.22668,79.65035,37
"Villupuram,1. Jakkampet
 2. Mailam x road
 3. Kedipattu
 4. Sendur x road,between 4 KM.",12.1447,79.47039,77
"Villupuram,1. Mundiyam-pakkam Jn",11.9976,79.51579,50
"Villupuram,1. Sithani",11.94014,79.48614,52
"Villupuram,Vridhachalam to Ulundurpet bypass between 1.5 KM",11.51587,79.32689,27
"Villupuram,Arasur Jn bypass crossing between
 6 KM",11.94014,79.48614,40
"Villupuram,Kedilam road bypass Jn between
 10 KM",11.94014,79.48614,29
"Villupuram,1. Trichy bypass
 2. Salem Bypass between 4 KM",11.66433,78.14601,40
"Villupuram,Gingee bypass to Viluppuram Jn.
 Between 2 KM",11.95338,79.49233,25
"Cuddalore,Total 30 Cases 7 to 10 Kms",11.74804,79.77137,30
"Cuddalore,Total 11 Cases 8 to 10 kms",11.74804,79.77137,23
"Salem,Omalr to Deevattipatty R.C. Chettipatty, Thanneerthotty, Jodukuli junction, Santhai thadam",11.81909,78.06415,72
"Salem,10 kms Vaigundam to Sangagiri, Konganapuram pirivu road, Akkamapet Mangarangampalayam",11.47963,77.88872,31
"Nagapattinam,Sirkali to Senthankudi 32
 km 36 km",11.23909,79.73612,23
"Aligarh,Kayampur More (125 m)",27.89739,78.08801,169
"Lucknow,Faizabad Road/ Ring Road (3-4 k.m.)",26.8044,81.54306,24
"Mathura,Jaigurudev Ashram (1
 k.m.)",27.47558,77.65715,100
"Kanpurnagar,Ramadevi Crossing",26.41141,80.38695,38
"Unnav,Dahi (1/2 km)",26.53934,80.48782,52
"Firozabad,Tundala (1-1 km)",27.22638,78.24254,60
"Lalitpur,Mahroni (1 to 1.5 kms)",24.58194,78.72284,19
"Moradabad,PAC T. Kanth Road (1-1.5
 kms)",28.86714,78.74804,44
"Bareilly,Rampura (1 to 2 kms)",28.36704,79.43044,31
"Agra,Sabzimandi (500 m)",27.21176,78.02952,30
"Fatehpur,Gram Nauwabag (200 m)",25.93022,80.79471,33
"Mainpuri,Kasba Bewar (1 km)",27.22819,79.02517,48
"Bijnaur,Kiratpur Road (0.5 to 1 km)",29.38645,78.14374,38
"Saharanpur,Devband GT Road (1 km)",29.68802,77.68205,22
"Chitrakut,Karvi (1 km)",25.17882,80.86545,16
"Faizabad,Town Area (3-4 kms)",26.77298,82.14579,14
"Shahajahanpur,Jumka (1.5 kms)",27.87534,79.91473,7
"Kaushambhi,Saini (2 kms)",25.36105,81.40317,23
"Gorakhpur,Ramudih (1 km)",26.76055,83.37317,35
"Auraiya,Kasba Ajitmal (2 to 2.5 kms)",26.57066,79.3131,11
"Mirzapur,Adal Haat (1 km)",25.13056,83.0348,30
"Allahabad,Phaphamau Tiraha (500
 m)",25.52167,81.86668,14
"JALPAIGURI,Teesta Bridge, Paharpur to Assam More Talmahat, Kotwali PS, Teesta Bridge to Talmahat 20 Kms.",26.57301,88.72534,3
"NADIA,Katwa More, Kaliganj PS, Vagachandpur more to Radhakantapur more 6 Kms.",23.73237,88.22908,2
